0		0		0		10		44		64		3		3		141		0		
0		2		92		0		0		4		3		5		1		0		
7		0		0		0		0		55		0		0		0		5		
0		0		0		0		2		0		2		5		1		53		
0		0		24		6		17		0		36		0		0		129		
0		1		316		0		0		33		11		43		2		3		
3		2		3		0		12		0		71		90		2		1		
0		0		0		2		0		0		75		0		23		20		
0		0		2		33		0		10		2		0		5		0		
0		2		0		19		0		4		2		11		2		1		
0		0		0		0		6		0		0		0		22		0		
0		0		132		28		0		111		0		0		1		0		
6		0		0		0		0		2		0		3		0		15		
0		0		0		1		0		12		0		0		2		0		
0		0		3		3		30		4		0		29		0		14		
0		0		1		0		0		0		0		0		0		0		
0		0		0		0		0		25		4		7		16		3		
0		0		0		5		0		0		2		0		61		15		
0		0		16		0		39		152		0		16		0		5		
0		0		6		0		1		1		16		9		0		87		
0		0		0		64		9		1		0		0		0		0		
0		0		68		0		0		0		8		0		0		0		
0		0		6		89		31		0		0		63		0		154		
0		0		36		0		0		0		22		0		9		0		
0		0		8		0		3		0		0		43		20		8		
