!Nr.	!Urne						JA		NEIN		Enthaltung	#Ungültig
-	-						#00b700		#0a30cc		#b3b3b3		#011338
1	Juridicum 1					405		40		13		2
2	Juridicum 2					642		41		19		0
3	Mensa 1 Nassestraße				158		32		5		1
4	Mensa 2 Nassestraße				397		66		18		7
5	Hauptgebäude 1					314		65		19		2
6	Hauptgebäude 2					327		79		20		3
7	Hauptgebäude 3					195		29		5		1
8	FAZ-Café<br>Hauptgebäude 4			85		9		1		0
9	Anglistik<br>Kaiserstraße			133		13		4		0
10	Math.-Nat. 1					132		16		11		0
11	Math.-Nat. 2					211		38		14		0
12	Math.-Nat. 3					78		15		2		0
13	Math.-Nat. 4					152		10		4		1
14	Pop-Mensa					294		34		13		0
15	Anatomie					294		17		4		1
16	Mathematik					149		46		11		1
17	MNL						341		48		12		2
18	Kantine Venusberg				96		1		1		0
19	Informatik, Sportanlage Römerstraße		147		25		13		0
20	ULB						197		52		13		0
21	Sprachlernzentrum<br>Medienwissenschaften	145		21		5		1
22	Venusberg					161		8		3		0
23	Physik<br>IGW					135		19		4		0
24	Psychologie					99		19		6		0
25	Wahlbüro (Briefwahl)				41		11		3		0
